"","tractce10","lon","lat","conservation","roofs_2012"
"1",842400,-87.630040043398,41.7424747606526,0,2
"2",840300,-87.6818821924661,41.8320943033406,0,0
"3",841100,-87.6350978321049,41.8510057488349,0,0
"4",841200,-87.6833419526921,41.8555618464282,0,0
"5",839000,-87.6314045147943,41.8710441511609,0,5
"6",838200,-87.6750793722096,41.8704157348972,0,2
"7",650301,-87.7299916336997,41.7749275343852,0,0
"8",530503,-87.6374122599603,41.6635978179703,0,0
"9",760803,-87.8441544966416,41.975346327391,0,0
"10",30601,-87.6549360983044,41.9888863515274,1,0
"11",30604,-87.6527316851449,41.9859193248886,1,1
"12",20801,-87.6944148717502,41.9868081349941,1,0
"13",540102,-87.6054485711245,41.6673314610479,0,0
"14",843300,-87.6925502523747,41.8637637465524,0,1
"15",540101,-87.5997932914187,41.6502203167921,0,0
"16",440201,-87.6100746334004,41.7482100576371,0,0
"17",80202,-87.6309005268,41.9058597222256,1,0
"18",70102,-87.6422020311577,41.930582857673,1,0
"19",31501,-87.6524500295368,41.9672852596565,1,0
"20",31502,-87.652365568209,41.9636326277758,1,0
"21",834900,-87.6567344459356,41.7722940340769,0,0
"22",834800,-87.6450878691814,41.7836302310483,0,0
"23",160502,-87.7130876471545,41.9555841216796,0,0
"24",140702,-87.7135752872938,41.9635482117236,0,0
"25",842000,-87.625170395816,41.8349599314675,0,0
"26",150402,-87.7720436080046,41.9567979297967,0,0
"27",834400,-87.5963096685092,41.7769447758759,0,0
"28",40201,-87.69400050746,41.9725804330687,1,1
"29",40202,-87.6940960099575,41.9798548915337,1,0
"30",20702,-87.7053882136859,41.9952889526069,1,0
"31",20802,-87.694630598168,41.9940592097168,1,0
"32",20301,-87.7051864879717,42.0068651019626,1,1
"33",838700,-87.7201851070414,41.8625774977548,0,0
"34",20601,-87.7018024545012,42.0008745963931,1,0
"35",841500,-87.7079132001707,41.8616224314123,0,0
"36",838600,-87.7008236266999,41.8678232921778,0,0
"37",837300,-87.7055523826467,41.8716190664386,0,0
"38",20602,-87.6936372806316,42.001315568476,1,0
"39",63301,-87.6430241752781,41.9345408816792,1,0
"40",837800,-87.6841274332521,41.884750116412,0,3
"41",837400,-87.6938012591124,41.87597448516,0,0
"42",836900,-87.7061361839251,41.8818830856932,0,0
"43",20302,-87.694963411473,42.0085406242781,1,0
"44",20902,-87.6786971027677,41.9942499220776,1,1
"45",10701,-87.6786203277,42.0091481103191,1,0
"46",30103,-87.6546954414555,41.9953804639321,1,0
"47",63303,-87.6346613035142,41.9347311603407,1,0
"48",30102,-87.6551319058358,41.9933967023306,1,0
"49",10502,-87.663327461637,42.0045170954267,1,0
"50",10503,-87.6631269138724,42.0003200375205,1,1
"51",10702,-87.6727257152491,42.0090199413986,1,0
"52",837100,-87.698720992796,41.8856737095455,0,0
"53",837000,-87.6986738735286,41.8783232837079,0,0
"54",10201,-87.6801485290353,42.0160075633226,1,0
"55",20901,-87.6860850880134,41.9942355345244,1,0
"56",40401,-87.686081604305,41.9720666830003,1,0
"57",210602,-87.7125728382221,41.9341668838657,0,1
"58",160501,-87.712973161933,41.9592098423002,0,0
"59",191302,-87.7705333682008,41.9202288695152,0,0
"60",190602,-87.7707370656714,41.9275603630321,0,0
"61",840200,-87.6491914950238,41.8445747589392,0,0
"62",530501,-87.6321659633233,41.6742779791191,0,0
"63",20701,-87.7036896704729,41.9868915177175,1,2
"64",831400,-87.7560884084294,41.8691188161863,0,2
"65",831300,-87.7442596071055,41.9077661438856,0,1
"66",10501,-87.6639581035369,42.0094117049704,1,0
"67",833000,-87.6572424782837,41.8852883142334,0,1
"68",760801,-87.8448471495024,41.9834847899905,0,0
"69",252101,-87.7695725299784,41.8754875673616,0,0
"70",252102,-87.7598115670224,41.8765922511382,0,1
"71",252202,-87.7445832277309,41.8767584053291,0,0
"72",220601,-87.7128836338551,41.925825234437,0,1
"73",210502,-87.7220524377063,41.9337846402307,0,0
"74",220602,-87.7119813443514,41.9293311706699,0,0
"75",220901,-87.721248280115,41.9191816423228,0,0
"76",220902,-87.7218357320077,41.9227112063496,0,0
"77",200401,-87.7375419010748,41.9198284684583,0,0
"78",200402,-87.7296789447278,41.9196348157274,0,0
"79",191301,-87.7802654519413,41.9201521521057,0,0
"80",190601,-87.780460606122,41.9274145873259,0,0
"81",190701,-87.761421669655,41.9297959331609,0,0
"82",190702,-87.761039548869,41.9261630560429,0,0
"83",190401,-87.780952362447,41.9347276482051,0,1
"84",190402,-87.7712317692072,41.9348596019533,0,0
"85",832100,-87.6532412725297,41.9528214463408,0,0
"86",843800,-87.6404755733382,41.8016565945964,0,0
"87",842800,-87.6983044024263,41.8075339302962,0,1
"88",351500,-87.6277462413009,41.8272741782093,0,0
"89",980100,-87.7509615809583,41.7859900975604,0,0
"90",833300,-87.6541250707542,41.8716913447213,0,2
"91",832900,-87.6618908190756,41.8741753457988,0,0
"92",838000,-87.680650164138,41.8773642467257,0,1
"93",838100,-87.671680546218,41.8786651394447,0,0
"94",30706,-87.6516051562679,41.9802351497431,1,1
"95",381500,-87.6228619243788,41.8101927137826,0,0
"96",833100,-87.6570454021462,41.8790768342599,0,6
"97",839100,-87.6327464004859,41.881026690288,0,12
"98",81201,-87.6262120435595,41.8991537818084,1,8
"99",150401,-87.7722648044519,41.9645676041443,0,0
"100",150501,-87.7819638191751,41.9644762289559,0,0
"101",843000,-87.7227523350925,41.8679352455898,0,1
"102",842900,-87.6729378964105,41.8631388494757,0,1
"103",842100,-87.7336103181743,41.8952784636647,0,0
"104",841900,-87.6429685982978,41.867892011174,0,4
"105",80201,-87.631005431999,41.9094984373794,1,2
"106",70101,-87.6325582106198,41.9304639916667,1,1
"107",81202,-87.6218108480448,41.9061375674991,1,1
"108",40402,-87.6788180487208,41.9725449695342,1,1
"109",220702,-87.7242313440438,41.9293687093217,0,0
"110",140301,-87.7231695064279,41.9692055473855,0,0
"111",842200,-87.6498856136532,41.9049337565231,0,7
"112",843700,-87.6907876281301,41.9448261272681,0,1
"113",835000,-87.6860492268939,41.7828494930967,0,0
"114",842300,-87.6560649085837,41.9022002053062,0,3
"115",230200,-87.7100949477197,41.9118821154249,0,1
"116",835100,-87.6862480413789,41.7901576095319,0,0
"117",834700,-87.6450333681731,41.7906902708871,0,0
"118",151001,-87.7543526961285,41.9423826034128,0,0
"119",151002,-87.7471553855562,41.9424917373234,0,0
"120",160602,-87.7006347845937,41.9560929695156,0,0
"121",140601,-87.7258908708273,41.9646471271803,0,0
"122",140701,-87.7126524650542,41.9670374979383,0,0
"123",140602,-87.7210165809407,41.9646520390785,0,1
"124",390500,-87.5991987303387,41.8059781068537,0,0
"125",841800,-87.5994213151934,41.7663063429605,0,2
"126",842500,-87.6232157117153,41.7769504743625,0,0
"127",842600,-87.6516951142809,41.8162185653357,0,1
"128",843500,-87.6967544828023,41.8382144051657,0,0
"129",843400,-87.7320214966012,41.8493272345381,0,0
"130",140302,-87.7237891341325,41.9725485068791,0,0
"131",110501,-87.7619249166349,41.977002331038,0,0
"132",390400,-87.6040581877781,41.8059243035729,0,0
"133",843200,-87.6633957310311,41.8474396908745,0,0
"134",840800,-87.7073710034995,41.8408329122508,0,0
"135",110502,-87.7598503781367,41.9702866466742,0,0
"136",760802,-87.8472156323329,41.957829885877,0,0
"137",150502,-87.7818413510824,41.9567784240226,0,0
"138",843100,-87.7007123657287,41.8607499556069,0,0
"139",834300,-87.5917741663522,41.7458443770948,0,1
"140",843900,-87.5760169861062,41.776599291335,0,2
"141",831200,-87.7322503353761,41.9153188977276,0,0
"142",831600,-87.7976147503459,41.9256104940884,0,0
"143",831500,-87.7880224267626,41.9276413724463,0,2
"144",831100,-87.7174955531449,41.9428558802317,0,2
"145",831700,-87.7452550785989,41.9526505928522,0,0
"146",271500,-87.7131559089728,41.8717861245655,0,0
"147",440202,-87.60976204005,41.7409598661527,0,1
"148",440102,-87.6011636183494,41.7409356032216,0,1
"149",430102,-87.5616340600327,41.7693825433077,0,0
"150",30702,-87.6548217002675,41.9806893987291,1,0
"151",30603,-87.6583978670123,41.9854762216786,1,0
"152",30701,-87.657965860794,41.9827452914809,1,1
"153",836300,-87.6017584238203,41.8015323417537,0,0
"154",838300,-87.6384038399199,41.9015665435149,0,0
"155",839800,-87.6431623248134,41.8350673667205,0,0
"156",836600,-87.7088058670461,41.8986973010144,0,0
"157",730202,-87.6485414701032,41.7264114443668,0,0
"158",430101,-87.5739529071401,41.769826379045,0,0
"159",63302,-87.6398539746667,41.9347646695283,1,0
"160",836200,-87.6012847500045,41.7904691323081,0,4
"161",71400,-87.629405899429,41.9221531769677,1,4
"162",840100,-87.6392002761914,41.8418680129057,0,0
"163",580502,-87.6993102174899,41.8145617058793,0,0
"164",841400,-87.7144106547938,41.8533098809101,0,0
"165",81401,-87.6197520088589,41.8950390614177,1,6
"166",81403,-87.6099676085103,41.8919083053226,1,7
"167",30703,-87.6578707878647,41.9788748363074,1,0
"168",836000,-87.6116843482843,41.8140035659778,0,0
"169",835800,-87.6187191653027,41.8130461765088,0,0
"170",835900,-87.6214988685038,41.8201664085,0,0
"171",834500,-87.6247358901293,41.788082251126,0,0
"172",843600,-87.6089488195909,41.8067653092775,0,0
"173",580501,-87.6994961532222,41.81998598347,0,0
"174",834600,-87.634305673613,41.7872464457319,0,0
"175",831800,-87.7164527092653,41.9782332686486,0,1
"176",71600,-87.6411828021369,41.9164725282339,1,0
"177",832600,-87.6540550801825,41.9147491871275,0,1
"178",61901,-87.6434599110261,41.943236675652,1,0
"179",839900,-87.6487068393337,41.8271229674945,0,2
"180",30104,-87.6556425245962,41.9972772870414,1,0
